27 41 U
Amsterdam Brussels 7
Amsterdam Berlin 7
Dublin London 8
Stockholm Helsinki 12
Stockholm Conpenhagen 7
Helsinki Tallin 4
Tallin Riga 4
Riga Vilnius 4
Conpenhagen Berlin 6
Brussels Berlin 7
Brussels Luxembourg 2
Brussels Paris 3
London Paris 6
Luxembourg Paris 4
Luxembourg Berlin 7
Berlin Paris 10
Berlin Warsaw 5
Berlin Prague 3
Berlin Vienna 3
Warsaw Prague 6
Warsaw Bratislava 7
Warsaw Vilnius 6
Prague Vienna 4
Prague Bratislava 3
Bratislava Vienna 1
Bratislava Budapest 2
Bucharest Budapest 10
Bucharest Sofia 6
Sofia Athens 8
Lisbon Madrid 6
Paris Madrid 12
Paris Rome 13
Rome Vienna 11
Rome Valleta 14
Rome Athens 20
Rome Ljubljana 7
Vienna Ljubljana 4
Vienna Budapest 3
Budapest Ljubljana 4
Budapest Zagreb 3
Ljubljana Zagreb 2
London
